epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,333.167,0.38909,0.26263,0.91336,0.99552,1,0.995,0.93897,0.36148,0.21894,0.86499,0.000649046,0.000649046,0.000649046
44,340.959,0.3922,0.26307,0.92092,0.99324,1,0.995,0.93977,0.40511,0.23543,0.88345,0.000638047,0.000638047,0.000638047
45,348.878,0.37814,0.26298,0.92341,0.99079,1,0.995,0.93032,0.37216,0.24486,0.86758,0.000627048,0.000627048,0.000627048
46,356.571,0.38801,0.26409,0.92538,0.99325,1,0.995,0.91101,0.44896,0.29445,0.89719,0.000616049,0.000616049,0.000616049
47,364.348,0.39574,0.25622,0.92193,0.99622,1,0.995,0.94392,0.36247,0.22651,0.85992,0.000605051,0.000605051,0.000605051
48,372.155,0.37926,0.25475,0.92645,0.9958,1,0.995,0.95143,0.33216,0.22255,0.845,0.000594052,0.000594052,0.000594052
49,380.559,0.38201,0.25271,0.9313,0.99574,1,0.995,0.96191,0.30242,0.20561,0.8395,0.000583053,0.000583053,0.000583053
50,388.237,0.377,0.25028,0.92523,0.99713,1,0.995,0.95419,0.32369,0.1967,0.83797,0.000572054,0.000572054,0.000572054
51,396.076,0.36212,0.24323,0.92215,0.99735,1,0.995,0.95879,0.31903,0.18373,0.83443,0.000561055,0.000561055,0.000561055
52,403.974,0.37391,0.24977,0.93583,0.99848,1,0.995,0.94494,0.36679,0.19905,0.85575,0.000550056,0.000550056,0.000550056
53,412.079,0.35527,0.24046,0.91175,0.9961,1,0.995,0.94638,0.35792,0.22104,0.85376,0.000539057,0.000539057,0.000539057
54,419.889,0.36492,0.24634,0.92596,0.99682,1,0.995,0.94196,0.35568,0.22272,0.86455,0.000528058,0.000528058,0.000528058
55,427.687,0.37058,0.25113,0.92035,0.99641,1,0.995,0.95613,0.30144,0.1867,0.83957,0.000517059,0.000517059,0.000517059
56,435.351,0.37646,0.24439,0.9253,0.99444,1,0.995,0.94899,0.35177,0.21679,0.86023,0.00050606,0.00050606,0.00050606
57,443.207,0.35398,0.23888,0.91827,0.99665,1,0.995,0.93978,0.3673,0.20963,0.86395,0.000495062,0.000495062,0.000495062
58,450.788,0.3626,0.23903,0.91643,0.99677,1,0.995,0.95096,0.34117,0.19048,0.84166,0.000484063,0.000484063,0.000484063
59,458.517,0.35323,0.22817,0.91118,0.997,1,0.995,0.95798,0.31648,0.20559,0.84447,0.000473064,0.000473064,0.000473064
60,466.157,0.34272,0.23055,0.91398,0.99617,1,0.995,0.95436,0.35648,0.18285,0.85621,0.000462065,0.000462065,0.000462065
61,474.086,0.36568,0.22759,0.92787,0.99737,1,0.995,0.94954,0.34097,0.19243,0.84455,0.000451066,0.000451066,0.000451066
62,481.884,0.33715,0.23597,0.91778,0.9958,1,0.995,0.95543,0.32162,0.19684,0.84267,0.000440067,0.000440067,0.000440067
63,489.394,0.34617,0.22864,0.91666,0.99697,1,0.995,0.94257,0.35372,0.20713,0.85334,0.000429068,0.000429068,0.000429068
64,497.121,0.34898,0.22921,0.90771,0.99636,1,0.995,0.93205,0.4329,0.23576,0.88798,0.000418069,0.000418069,0.000418069
65,505.112,0.3736,0.24515,0.91821,0.99846,1,0.995,0.94177,0.36632,0.21249,0.8665,0.00040707,0.00040707,0.00040707
66,512.799,0.35188,0.23863,0.92046,0.99781,1,0.995,0.9484,0.37414,0.21049,0.85573,0.000396071,0.000396071,0.000396071
67,520.46,0.35649,0.2357,0.91053,0.99621,1,0.995,0.95711,0.32719,0.19081,0.84197,0.000385073,0.000385073,0.000385073
68,528.28,0.34055,0.22312,0.90884,0.99619,1,0.995,0.9706,0.28312,0.17688,0.8248,0.000374074,0.000374074,0.000374074
69,536.202,0.35979,0.23193,0.9164,0.99669,1,0.995,0.95732,0.33653,0.1847,0.83895,0.000363075,0.000363075,0.000363075
70,543.9,0.33565,0.22216,0.92015,0.99896,1,0.995,0.9603,0.29934,0.19258,0.82873,0.000352076,0.000352076,0.000352076
71,551.551,0.34704,0.22006,0.9085,0.99738,1,0.995,0.95497,0.34757,0.18041,0.848,0.000341077,0.000341077,0.000341077
72,559.225,0.33909,0.21721,0.90285,0.99739,1,0.995,0.94169,0.36321,0.19202,0.85469,0.000330078,0.000330078,0.000330078
73,567.284,0.33159,0.21498,0.9155,0.99661,1,0.995,0.95388,0.31959,0.18697,0.83763,0.000319079,0.000319079,0.000319079
74,575.125,0.33271,0.20965,0.90125,0.99809,1,0.995,0.95797,0.31062,0.1746,0.83769,0.00030808,0.00030808,0.00030808
75,583.074,0.33958,0.21518,0.91724,0.99741,1,0.995,0.95387,0.30379,0.171,0.83387,0.000297081,0.000297081,0.000297081
76,590.769,0.31223,0.20468,0.89605,1,1,0.995,0.96058,0.30499,0.17628,0.82831,0.000286083,0.000286083,0.000286083
77,598.556,0.3255,0.21017,0.89899,0.99946,1,0.995,0.96209,0.30569,0.1806,0.82609,0.000275084,0.000275084,0.000275084
78,605.946,0.32278,0.2128,0.91226,0.99792,1,0.995,0.96354,0.30207,0.18217,0.82358,0.000264085,0.000264085,0.000264085
79,613.345,0.31357,0.21025,0.90259,0.99588,1,0.995,0.96365,0.29559,0.17275,0.81864,0.000253086,0.000253086,0.000253086
80,620.856,0.31917,0.20558,0.90385,0.99748,1,0.995,0.96446,0.28139,0.162,0.811,0.000242087,0.000242087,0.000242087
81,628.29,0.32102,0.21524,0.89366,0.99654,1,0.995,0.96502,0.27473,0.15959,0.81225,0.000231088,0.000231088,0.000231088
82,635.923,0.31413,0.19979,0.89898,0.99828,1,0.995,0.96072,0.29687,0.15916,0.81731,0.000220089,0.000220089,0.000220089
83,643.415,0.31038,0.20119,0.9023,0.99865,1,0.995,0.9597,0.29263,0.16089,0.81959,0.00020909,0.00020909,0.00020909
84,650.81,0.30844,0.20484,0.90296,0.99921,1,0.995,0.95973,0.32289,0.16937,0.83017,0.000198091,0.000198091,0.000198091
85,658.262,0.30629,0.19591,0.89297,0.9978,1,0.995,0.96185,0.30704,0.16725,0.83348,0.000187092,0.000187092,0.000187092
86,665.892,0.31369,0.20439,0.89399,0.99844,1,0.995,0.96923,0.29199,0.16715,0.82461,0.000176094,0.000176094,0.000176094
87,673.337,0.31353,0.2056,0.89024,0.99858,1,0.995,0.97154,0.28747,0.15712,0.81857,0.000165095,0.000165095,0.000165095
88,680.942,0.29044,0.19366,0.88628,0.99943,1,0.995,0.96905,0.29297,0.16078,0.82415,0.000154096,0.000154096,0.000154096
89,688.406,0.30923,0.19895,0.90336,0.998,1,0.995,0.95622,0.3232,0.17553,0.83449,0.000143097,0.000143097,0.000143097
90,696.144,0.3066,0.19829,0.89805,0.99857,1,0.995,0.96407,0.31453,0.16834,0.82937,0.000132098,0.000132098,0.000132098
91,731.851,0.27616,0.17434,0.83897,0.99756,1,0.995,0.95291,0.3232,0.16977,0.83357,0.000121099,0.000121099,0.000121099
92,738.908,0.2649,0.16542,0.83462,0.99636,1,0.995,0.95256,0.31818,0.17768,0.83349,0.0001101,0.0001101,0.0001101
93,746.237,0.2592,0.16398,0.83706,0.99674,1,0.995,0.96046,0.30423,0.16704,0.82321,9.91012e-05,9.91012e-05,9.91012e-05
94,753.532,0.25616,0.16249,0.83264,0.99721,1,0.995,0.96476,0.30747,0.16701,0.82139,8.81023e-05,8.81023e-05,8.81023e-05
95,761.187,0.25244,0.15673,0.84236,0.99805,1,0.995,0.9694,0.28802,0.15793,0.81437,7.71034e-05,7.71034e-05,7.71034e-05
96,768.518,0.24987,0.15294,0.8325,0.998,1,0.995,0.96916,0.29516,0.16203,0.81786,6.61045e-05,6.61045e-05,6.61045e-05
97,775.988,0.24631,0.15415,0.83426,0.99804,1,0.995,0.97021,0.28497,0.14962,0.81496,5.51056e-05,5.51056e-05,5.51056e-05
98,783.349,0.24077,0.14928,0.82427,0.99723,1,0.995,0.97016,0.29018,0.15019,0.81657,4.41067e-05,4.41067e-05,4.41067e-05
99,790.803,0.24461,0.15086,0.82902,0.9973,1,0.995,0.97025,0.29195,0.14918,0.81594,3.31078e-05,3.31078e-05,3.31078e-05
100,798.247,0.23533,0.14626,0.84124,0.99781,1,0.995,0.97145,0.28898,0.14815,0.81293,2.21089e-05,2.21089e-05,2.21089e-05
